"Logger","Week","Temp"
"HighChannel","2018-6",11.1
"HighChannel","2018-7",9.68
"HighChannel","2018-8",9.04
"HighChannel","2018-9",8.67
"LowBarnacleBench","2013-28",10.76
"LowBarnacleBench","2013-29",11.09
"LowBarnacleBench","2013-30",10.09
"LowBarnacleBench","2013-31",11.08
"LowBarnacleBench","2013-32",10.7
"LowBarnacleBench","2013-33",13.4
"LowBarnacleBench","2013-34",11.53
"LowBarnacleBench","2013-35",13.92
"LowBarnacleBench","2013-36",15.75
"LowBarnacleBench","2013-37",13.1
"LowBarnacleBench","2013-38",14.24
"LowBarnacleBench","2013-39",14.71
"LowBarnacleBench","2013-40",14.25
"LowBarnacleBench","2013-41",13.02
"LowBarnacleBench","2013-42",10.6
"LowBarnacleBench","2013-43",9.97
"LowBarnacleBench","2013-44",9.82
"LowBarnacleBench","2013-45",10.42
"LowBarnacleBench","2013-46",11.11
"LowBarnacleBench","2013-47",9.2
"LowBarnacleBench","2013-48",10.25
"LowBarnacleBench","2013-49",5.93
"LowBarnacleBench","2013-50",8.42
"LowBarnacleBench","2013-51",8.48
"LowBarnacleBench","2013-52",8.7
"LowBarnacleBench","2013-53",8.54
"LowBarnacleBench","2014-1",8.01
"LowBarnacleBench","2014-10",11.53
"LowBarnacleBench","2014-11",11.13
"LowBarnacleBench","2014-12",11.16
"LowBarnacleBench","2014-13",10.73
"LowBarnacleBench","2014-14",11.67
"LowBarnacleBench","2014-15",10.63
"LowBarnacleBench","2014-16",11.01
"LowBarnacleBench","2014-17",11.33
"LowBarnacleBench","2014-18",13.4
"LowBarnacleBench","2014-19",12.91
"LowBarnacleBench","2014-2",9.01
"LowBarnacleBench","2014-20",14.56
"LowBarnacleBench","2014-21",11.8
"LowBarnacleBench","2014-22",11.44
"LowBarnacleBench","2014-23",10.64
"LowBarnacleBench","2014-24",11.79
"LowBarnacleBench","2014-25",12.38
"LowBarnacleBench","2014-26",13.84
"LowBarnacleBench","2014-27",12.64
"LowBarnacleBench","2014-28",11.14
"LowBarnacleBench","2014-29",11.04
"LowBarnacleBench","2014-3",8.79
"LowBarnacleBench","2014-30",12.78
"LowBarnacleBench","2014-31",11.12
"LowBarnacleBench","2014-32",10.91
"LowBarnacleBench","2014-33",12.11
"LowBarnacleBench","2014-34",11.17
"LowBarnacleBench","2014-35",12.08
"LowBarnacleBench","2014-36",11.66
"LowBarnacleBench","2014-37",11.56
"LowBarnacleBench","2014-38",12.74
"LowBarnacleBench","2014-39",15.19
"LowBarnacleBench","2014-4",9.3
"LowBarnacleBench","2014-40",12.69
"LowBarnacleBench","2014-41",13.28
"LowBarnacleBench","2014-42",14.96
"LowBarnacleBench","2014-43",14.62
"LowBarnacleBench","2014-44",14.9
"LowBarnacleBench","2014-45",14.12
"LowBarnacleBench","2014-46",11.27
"LowBarnacleBench","2014-47",13.07
"LowBarnacleBench","2014-48",13.01
"LowBarnacleBench","2014-49",12.98
"LowBarnacleBench","2014-5",8.78
"LowBarnacleBench","2014-50",12.71
"LowBarnacleBench","2014-51",12.92
"LowBarnacleBench","2014-52",11.73
"LowBarnacleBench","2014-53",6.66
"LowBarnacleBench","2014-6",8.15
"LowBarnacleBench","2014-7",10.02
"LowBarnacleBench","2014-8",10.71
"LowBarnacleBench","2014-9",10.88
"LowBarnacleBench","2015-1",11.27
"LowBarnacleBench","2015-10",11.22
"LowBarnacleBench","2015-11",12.61
"LowBarnacleBench","2015-12",12.09
"LowBarnacleBench","2015-13",13.24
"LowBarnacleBench","2015-14",11.95
